x_norm,u_x,u_y
0,0,0
0.00189394,-7.85024e-06,0.00711905
0.00378788,-2.97952e-05,0.0140867
0.00568182,-6.60646e-05,0.0209045
0.00757576,-0.000116883,0.027574
0.0094697,-0.00018247,0.0340968
0.0113636,-0.000263032,0.0404744
0.0132576,-0.000358768,0.0467087
0.0151515,-0.000469862,0.0528011
0.0170455,-0.000596485,0.0587536
0.0189394,-0.000738792,0.0645679
0.0208333,-0.00089692,0.0702459
0.0227273,-0.00107099,0.0757895
0.0246212,-0.00126111,0.0812006
0.0265152,-0.00146735,0.0864813
0.0284091,-0.00168978,0.0916335
0.030303,-0.00192845,0.0966594
0.032197,-0.00218337,0.101561
0.0340909,-0.00245456,0.106341
0.0359848,-0.00274199,0.111
0.0378788,-0.00304564,0.115542
0.0397727,-0.00336543,0.119969
0.0416667,-0.00370131,0.124282
0.0435606,-0.00405316,0.128485
0.0454545,-0.00442089,0.132579
0.0473485,-0.00480436,0.136568
0.0492424,-0.00520342,0.140452
0.0511364,-0.0056179,0.144235
0.0530303,-0.00604764,0.14792
0.0549242,-0.00649242,0.151508
0.0568182,-0.00695204,0.155002
0.0587121,-0.00742628,0.158404
0.0606061,-0.0079149,0.161717
0.0625,-0.00841764,0.164944
0.0643939,-0.00893426,0.168087
0.0662879,-0.00946447,0.171147
0.0681818,-0.010008,0.174128
0.0700758,-0.0105646,0.177032
0.0719697,-0.0111338,0.179862
0.0738636,-0.0117155,0.182619
0.0757576,-0.0123094,0.185306
0.0776515,-0.012915,0.187925
0.0795455,-0.0135321,0.190479
0.0814394,-0.0141603,0.192969
0.0833333,-0.0147994,0.195398
0.0852273,-0.015449,0.197768
0.0871212,-0.0161087,0.200082
0.0890152,-0.0167782,0.20234
0.0909091,-0.0174573,0.204546
0.092803,-0.0181455,0.2067
0.094697,-0.0188425,0.208806
0.0965909,-0.019548,0.210864
0.0984848,-0.0202616,0.212876
0.100379,-0.0209831,0.214845
0.102273,-0.0217121,0.216772
0.104167,-0.0224483,0.218658
0.106061,-0.0231913,0.220505
0.107955,-0.0239408,0.222314
0.109848,-0.0246966,0.224088
0.111742,-0.0254583,0.225826
0.113636,-0.0262256,0.227531
0.11553,-0.0269983,0.229204
0.117424,-0.0277759,0.230845
0.119318,-0.0285583,0.232457
0.121212,-0.0293451,0.234039
0.123106,-0.0301361,0.235594
0.125,-0.030931,0.237121
0.126894,-0.0317295,0.238622
0.128788,-0.0325313,0.240097
0.130682,-0.0333363,0.241548
0.132576,-0.0341441,0.242974
0.13447,-0.0349545,0.244378
0.136364,-0.0357673,0.245758
0.138258,-0.0365822,0.247116
0.140152,-0.037399,0.248452
0.142045,-0.0382175,0.249766
0.143939,-0.0390374,0.25106
0.145833,-0.0398586,0.252332
0.147727,-0.0406808,0.253584
0.149621,-0.0415038,0.254816
0.151515,-0.0423275,0.256028
0.153409,-0.0431516,0.25722
0.155303,-0.0439759,0.258392
0.157197,-0.0448003,0.259544
0.159091,-0.0456246,0.260677
0.160985,-0.0464486,0.261789
0.162879,-0.0472721,0.262882
0.164773,-0.048095,0.263956
0.166667,-0.0489171,0.265009
0.168561,-0.0497382,0.266042
0.170455,-0.0505582,0.267056
0.172348,-0.0513769,0.268049
0.174242,-0.0521942,0.269021
0.176136,-0.0530099,0.269973
0.17803,-0.0538239,0.270904
0.179924,-0.0546361,0.271814
0.181818,-0.0554462,0.272702
0.183712,-0.0562542,0.273569
