y_norm,u_x,u_y
0,0,0
0.00189394,-0.00264387,2.5902e-07
0.00378788,-0.00526246,2.93229e-07
0.00568182,-0.00785606,-8.11343e-08
0.00757576,-0.010425,-1.03969e-06
0.0094697,-0.01297,-2.74975e-06
0.0113636,-0.0154918,-5.37011e-06
0.0132576,-0.0179914,-9.05082e-06
0.0151515,-0.0204696,-1.3933e-05
0.0170455,-0.0229275,-2.01488e-05
0.0189394,-0.0253664,-2.78211e-05
0.0208333,-0.0277872,-3.70636e-05
0.0227273,-0.030191,-4.79806e-05
0.0246212,-0.032579,-6.06668e-05
0.0265152,-0.0349522,-7.52076e-05
0.0284091,-0.0373117,-9.16788e-05
0.030303,-0.0396583,-0.000110146
0.032197,-0.0419932,-0.000130667
0.0340909,-0.0443172,-0.000153288
0.0359848,-0.0466313,-0.000178045
0.0378788,-0.0489362,-0.000204968
0.0397727,-0.0512327,-0.000234075
0.0416667,-0.0535218,-0.000265373
0.0435606,-0.0558041,-0.000298863
0.0454545,-0.0580804,-0.000334535
0.0473485,-0.0603514,-0.000372369
0.0492424,-0.0626177,-0.000412337
0.0511364,-0.0648801,-0.000454402
0.0530303,-0.0671392,-0.000498517
0.0549242,-0.0693956,-0.000544629
0.0568182,-0.07165,-0.000592672
0.0587121,-0.0739029,-0.000642576
0.0606061,-0.076155,-0.00069426
0.0625,-0.0784068,-0.000747636
0.0643939,-0.0806589,-0.000802608
0.0662879,-0.0829119,-0.000859071
0.0681818,-0.0851662,-0.000916916
0.0700758,-0.0874224,-0.000976022
0.0719697,-0.089681,-0.00103627
0.0738636,-0.0919426,-0.00109751
0.0757576,-0.0942074,-0.00115963
0.0776515,-0.0964762,-0.00122246
0.0795455,-0.0987491,-0.00128587
0.0814394,-0.101027,-0.00134968
0.0833333,-0.10331,-0.00141375
0.0852273,-0.105598,-0.00147791
0.0871212,-0.107892,-0.00154197
0.0890152,-0.110192,-0.00160577
0.0909091,-0.112499,-0.00166912
0.092803,-0.114813,-0.00173184
0.094697,-0.117133,-0.00179373
0.0965909,-0.119462,-0.00185462
0.0984848,-0.121797,-0.00191429
0.100379,-0.124141,-0.00197256
0.102273,-0.126492,-0.00202921
0.104167,-0.128852,-0.00208406
0.106061,-0.13122,-0.00213689
0.107955,-0.133596,-0.00218749
0.109848,-0.13598,-0.00223566
0.111742,-0.138374,-0.00228119
0.113636,-0.140775,-0.00232387
0.11553,-0.143185,-0.00236348
0.117424,-0.145604,-0.00239983
0.119318,-0.148031,-0.00243269
0.121212,-0.150466,-0.00246185
0.123106,-0.152909,-0.00248712
0.125,-0.155361,-0.00250827
0.126894,-0.15782,-0.00252511
0.128788,-0.160286,-0.00253742
0.130682,-0.16276,-0.002545
0.132576,-0.165242,-0.00254766
0.13447,-0.167729,-0.00254519
0.136364,-0.170223,-0.0025374
0.138258,-0.172723,-0.00252408
0.140152,-0.175229,-0.00250506
0.142045,-0.17774,-0.00248014
0.143939,-0.180255,-0.00244915
0.145833,-0.182775,-0.00241189
0.147727,-0.185298,-0.0023682
0.149621,-0.187824,-0.0023179
0.151515,-0.190353,-0.00226082
0.153409,-0.192883,-0.00219681
0.155303,-0.195415,-0.00212571
0.157197,-0.197947,-0.00204735
0.159091,-0.200479,-0.00196161
0.160985,-0.20301,-0.00186832
0.162879,-0.205539,-0.00176737
0.164773,-0.208066,-0.00165861
0.166667,-0.210589,-0.00154193
0.168561,-0.213108,-0.0014172
0.170455,-0.215622,-0.00128431
0.172348,-0.21813,-0.00114316
0.174242,-0.220631,-0.000993654
